date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2009-10-03,55.0,82.0,0.0,0.0,0.0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
